|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
|..|    0,   64,..................|    0,    0,..................|    1,   36,....U.............|    0,    0,..................|
